sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1774316911.9173868,1.12,-0.39,10.39,0.05,-0.05,0.01,swipe_down
1,1774316911.9283004,1.16,-0.36,10.3,0.07,-0.06,0.01,swipe_down
1,1774316911.9326797,1.14,-0.34,10.18,0.1,-0.07,0.01,swipe_down
1,1774316911.9470057,1.11,-0.35,10.06,0.12,-0.07,0.02,swipe_down
1,1774316911.9535818,1.12,-0.38,9.94,0.15,-0.08,0.03,swipe_down
1,1774316911.9644754,1.13,-0.42,9.78,0.18,-0.09,0.04,swipe_down
1,1774316911.975945,1.12,-0.53,9.57,0.22,-0.1,0.04,swipe_down
1,1774316911.9831274,1.16,-0.58,9.28,0.27,-0.11,0.02,swipe_down
1,1774316911.9961722,1.2,-0.62,8.96,0.33,-0.12,0.01,swipe_down
1,1774316912.002664,1.21,-0.65,8.59,0.4,-0.15,0.0,swipe_down
1,1774316912.0163531,1.22,-0.66,8.04,0.48,-0.19,0.0,swipe_down
1,1774316912.0233178,1.28,-0.63,7.41,0.58,-0.25,0.03,swipe_down
1,1774316912.0333009,1.37,-0.6,6.68,0.68,-0.31,0.05,swipe_down
1,1774316912.0441651,1.59,-0.49,5.99,0.78,-0.37,0.08,swipe_down
1,1774316912.054771,1.75,-0.39,5.26,0.88,-0.41,0.12,swipe_down
1,1774316912.0656264,1.94,-0.34,4.56,0.98,-0.42,0.14,swipe_down
1,1774316912.074114,2.11,-0.14,3.88,1.07,-0.39,0.13,swipe_down
1,1774316912.0834455,2.35,0.28,3.31,1.11,-0.38,0.09,swipe_down
1,1774316912.0947852,2.47,0.71,2.73,1.11,-0.36,0.05,swipe_down
1,1774316912.1053965,2.57,1.08,2.14,1.09,-0.33,0.01,swipe_down
1,1774316912.114704,2.55,1.07,1.52,1.06,-0.27,-0.02,swipe_down
1,1774316912.1258764,2.4,1.2,1.07,1.01,-0.19,-0.02,swipe_down
1,1774316912.1350808,2.28,1.45,0.71,0.92,-0.15,-0.02,swipe_down
1,1774316912.1459079,2.12,1.84,0.19,0.82,-0.14,-0.01,swipe_down
1,1774316912.1565642,1.76,2.28,-0.42,0.72,-0.13,-0.0,swipe_down
1,1774316912.1652863,1.6,2.49,-1.3,0.62,-0.06,0.03,swipe_down
1,1774316912.173196,1.78,2.43,-2.35,0.51,0.14,0.11,swipe_down
1,1774316912.1858866,2.09,1.97,-3.74,0.4,0.52,0.17,swipe_down
