sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1774263013.6589272,0.43,0.48,10.39,-0.06,-0.01,-0.06,swipe_left
1,1774263013.6631727,0.43,0.44,10.37,-0.04,-0.02,-0.05,swipe_left
1,1774263013.6762705,0.46,0.4,10.35,-0.03,-0.0,-0.04,swipe_left
1,1774263013.6896207,0.44,0.42,10.33,-0.03,0.02,-0.04,swipe_left
1,1774263013.6946297,0.4,0.46,10.42,-0.03,0.04,-0.04,swipe_left
1,1774263013.7034638,0.34,0.43,10.53,-0.03,0.05,-0.04,swipe_left
1,1774263013.7189732,0.31,0.45,10.58,-0.03,0.05,-0.04,swipe_left
1,1774263013.7221625,0.25,0.41,10.57,-0.03,0.04,-0.04,swipe_left
1,1774263013.7327225,0.24,0.36,10.58,-0.02,0.03,-0.04,swipe_left
1,1774263013.745271,0.23,0.39,10.56,-0.01,0.02,-0.05,swipe_left
1,1774263013.753765,0.25,0.41,10.55,-0.01,0.02,-0.06,swipe_left
1,1774263013.761799,0.28,0.45,10.58,-0.01,0.02,-0.06,swipe_left
1,1774263013.7762854,0.29,0.49,10.6,-0.01,0.03,-0.07,swipe_left
1,1774263013.7847972,0.34,0.49,10.59,-0.02,0.03,-0.07,swipe_left
1,1774263013.796993,0.34,0.5,10.6,-0.03,0.04,-0.07,swipe_left
1,1774263013.8020446,0.35,0.53,10.57,-0.03,0.04,-0.06,swipe_left
1,1774263013.813614,0.31,0.56,10.57,-0.04,0.05,-0.06,swipe_left
1,1774263013.8284113,0.23,0.55,10.61,-0.04,0.04,-0.05,swipe_left
1,1774263013.8324866,0.18,0.55,10.61,-0.05,0.04,-0.06,swipe_left
1,1774263013.842871,0.15,0.53,10.53,-0.06,0.05,-0.07,swipe_left
1,1774263013.8547251,0.13,0.54,10.44,-0.07,0.06,-0.08,swipe_left
1,1774263013.8631148,0.16,0.62,10.35,-0.07,0.06,-0.1,swipe_left
1,1774263013.8758879,0.15,0.68,10.28,-0.06,0.07,-0.11,swipe_left
1,1774263013.883411,0.17,0.74,10.25,-0.04,0.07,-0.11,swipe_left
1,1774263013.8960674,0.16,0.92,10.33,-0.02,0.06,-0.1,swipe_left
1,1774263013.9024653,0.13,1.06,10.49,-0.01,0.05,-0.1,swipe_left
1,1774263013.9131045,0.13,1.19,10.6,-0.01,0.04,-0.09,swipe_left
1,1774263013.9246354,0.13,1.32,10.67,-0.02,0.03,-0.08,swipe_left
1,1774263013.933529,0.14,1.41,10.66,-0.04,0.03,-0.08,swipe_left
1,1774263013.9463952,0.26,1.64,10.59,-0.05,0.02,-0.08,swipe_left
1,1774263013.952399,0.33,1.95,10.4,-0.04,0.03,-0.09,swipe_left
1,1774263013.9635854,0.53,2.35,10.4,-0.01,0.02,-0.09,swipe_left
1,1774263013.9732735,0.81,2.8,10.45,0.03,0.0,-0.07,swipe_left
1,1774263013.9814868,1.14,3.28,10.25,0.09,-0.01,-0.02,swipe_left
1,1774263013.9945595,1.31,3.9,10.08,0.15,-0.01,0.04,swipe_left
1,1774263014.001938,1.39,4.37,10.07,0.2,0.02,0.12,swipe_left
1,1774263014.013095,1.2,4.89,10.05,0.26,0.04,0.21,swipe_left
