sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1774253720.72391,-0.05,-0.09,10.52,-0.07,0.06,-0.02,vuot-phai
1,1774253720.7279565,-0.08,-0.08,10.54,-0.07,0.06,-0.02,vuot-phai
1,1774253720.7378616,-0.11,-0.05,10.54,-0.07,0.06,-0.01,vuot-phai
1,1774253720.7560184,-0.14,-0.07,10.47,-0.08,0.06,-0.01,vuot-phai
1,1774253720.758383,-0.17,-0.08,10.49,-0.07,0.06,-0.01,vuot-phai
1,1774253720.7691598,-0.15,-0.08,10.55,-0.06,0.06,0,vuot-phai
1,1774253720.7803497,-0.13,-0.08,10.55,-0.05,0.07,0.01,vuot-phai
1,1774253720.7876441,-0.08,-0.06,10.56,-0.04,0.07,0.02,vuot-phai
1,1774253720.7994483,-0.05,-0.09,10.53,-0.04,0.06,0.03,vuot-phai
1,1774253720.8138762,-0.04,-0.16,10.52,-0.04,0.06,0.04,vuot-phai
1,1774253720.8179076,0.01,-0.21,10.52,-0.05,0.06,0.04,vuot-phai
1,1774253720.8324196,0.01,-0.21,10.52,-0.05,0.06,0.03,vuot-phai
1,1774253720.837572,0.01,-0.19,10.51,-0.07,0.06,0.01,vuot-phai
1,1774253720.8493295,0.05,-0.2,10.5,-0.08,0.05,0,vuot-phai
1,1774253720.8607125,0.11,-0.22,10.48,-0.09,0.05,-0.01,vuot-phai
1,1774253720.8673513,0.08,-0.27,10.5,-0.09,0.05,-0.01,vuot-phai
1,1774253720.8782496,0.05,-0.31,10.49,-0.08,0.07,0,vuot-phai
1,1774253720.8877585,0,-0.37,10.44,-0.07,0.08,0,vuot-phai
1,1774253720.899088,-0.03,-0.49,10.41,-0.04,0.11,0.01,vuot-phai
1,1774253720.9076102,-0.05,-0.69,10.38,-0.03,0.13,0.04,vuot-phai
1,1774253720.9184234,-0.13,-0.96,10.34,-0.02,0.16,0.07,vuot-phai
1,1774253720.9319565,-0.13,-1.26,10.49,0,0.18,0.09,vuot-phai
1,1774253720.9379077,-0.18,-1.49,10.61,0.01,0.21,0.11,vuot-phai
1,1774253720.9484854,-0.13,-1.98,10.77,0.01,0.22,0.12,vuot-phai
1,1774253720.9594498,-0.18,-2.46,11,0.01,0.23,0.12,vuot-phai
1,1774253720.968192,-0.22,-3.15,11.11,0,0.21,0.11,vuot-phai
1,1774253720.9817226,-0.09,-4.1,11.31,0.03,0.2,0.09,vuot-phai
1,1774253720.986888,0.02,-4.78,11.57,0.09,0.17,0.04,vuot-phai
1,1774253721.0004032,0.07,-5.34,11.85,0.14,0.13,-0.04,vuot-phai
1,1774253721.0075555,0.12,-5.78,11.79,0.2,0.08,-0.16,vuot-phai
1,1774253721.0207994,0.34,-6.05,11.8,0.26,0.02,-0.3,vuot-phai
1,1774253721.0339277,0.38,-6.17,11.65,0.34,-0.01,-0.48,vuot-phai
1,1774253721.039068,0.4,-6.13,11.46,0.41,-0.03,-0.67,vuot-phai
1,1774253721.0519214,0.4,-6.08,11.26,0.45,-0.05,-0.86,vuot-phai
1,1774253721.0573866,0.51,-5.94,11.05,0.48,-0.07,-1.04,vuot-phai
1,1774253721.0692003,0.57,-5.79,10.89,0.51,-0.09,-1.18,vuot-phai
1,1774253721.0814052,0.57,-5.62,10.71,0.53,-0.09,-1.32,vuot-phai
