sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1774316148.4330199,-1.6,-0.06,10.32,0,0.19,0.05,swipe_up
1,1774316148.4371028,-1.62,0.01,10.3,0.01,0.2,0.05,swipe_up
1,1774316148.4480903,-1.64,0.04,10.28,0.02,0.21,0.05,swipe_up
1,1774316148.462129,-1.62,0.1,10.22,0.01,0.22,0.04,swipe_up
1,1774316148.4666672,-1.58,0.15,10.16,0.01,0.24,0.04,swipe_up
1,1774316148.4813242,-1.52,0.19,10.03,0,0.26,0.05,swipe_up
1,1774316148.4874978,-1.47,0.25,9.91,-0.01,0.3,0.06,swipe_up
1,1774316148.496943,-1.54,0.28,9.94,-0.02,0.35,0.07,swipe_up
1,1774316148.5082352,-1.42,0.31,9.8,-0.02,0.4,0.09,swipe_up
1,1774316148.5189235,-1.3,0.37,9.73,-0.02,0.46,0.13,swipe_up
1,1774316148.5313244,-1.26,0.45,9.54,-0.02,0.55,0.16,swipe_up
1,1774316148.5365186,-1.22,0.54,9.58,-0.02,0.66,0.19,swipe_up
1,1774316148.5483487,-1.39,0.55,9.81,-0.04,0.77,0.2,swipe_up
1,1774316148.558096,-1.58,0.49,9.94,-0.07,0.86,0.18,swipe_up
1,1774316148.5701756,-1.67,0.59,10.3,-0.11,0.96,0.14,swipe_up
1,1774316148.5776217,-1.66,0.62,10.67,-0.17,1.03,0.13,swipe_up
1,1774316148.5880759,-1.76,0.43,10.94,-0.22,1.1,0.14,swipe_up
1,1774316148.5973687,-1.89,0.35,11.88,-0.23,1.2,0.1,swipe_up
1,1774316148.6078463,-2.08,0.24,12.67,-0.26,1.29,0.07,swipe_up
1,1774316148.6176229,-2.2,0.31,13.66,-0.28,1.37,0.07,swipe_up
1,1774316148.6287518,-2.42,0.31,14.87,-0.31,1.43,0.09,swipe_up
1,1774316148.63754,-2.83,0.17,16.16,-0.41,1.45,0.1,swipe_up
1,1774316148.64855,-3.53,-0.04,17.55,-0.58,1.41,0.09,swipe_up
1,1774316148.6593125,-4.44,-0.09,18.97,-0.81,1.29,0.01,swipe_up
1,1774316148.6684055,-5.27,-0.32,20.24,-1.05,1.1,-0.05,swipe_up
1,1774316148.6790504,-5.91,-0.88,21.53,-1.26,0.85,-0.04,swipe_up
1,1774316148.6893454,-6.62,-1.73,22.61,-1.4,0.51,0.02,swipe_up
1,1774316148.7008438,-7.32,-2.6,23.3,-1.48,0.15,0.06,swipe_up
1,1774316148.707468,-7.86,-3.32,23.48,-1.55,-0.22,0.07,swipe_up
1,1774316148.7228703,-8.29,-3.97,23.02,-1.58,-0.58,0.02,swipe_up
1,1774316148.7270114,-8.48,-4.48,22.47,-1.59,-0.92,-0.14,swipe_up
1,1774316148.737371,-8.43,-4.67,21.78,-1.58,-1.23,-0.36,swipe_up
1,1774316148.7494333,-8.53,-4.62,21.08,-1.58,-1.54,-0.61,swipe_up
1,1774316148.7595618,-8.74,-4.54,20.44,-1.54,-1.86,-0.84,swipe_up
1,1774316148.7678394,-8.83,-4.56,19.52,-1.4,-2.2,-0.99,swipe_up
1,1774316148.7783985,-8.95,-4.64,18.18,-1.17,-2.48,-1.07,swipe_up
1,1774316148.7882614,-9.1,-4.4,16.83,-0.87,-2.7,-1.1,swipe_up
1,1774316148.8005626,-9.2,-4.06,15.4,-0.5,-2.9,-1.1,swipe_up
1,1774316148.8072221,-8.84,-3.82,13.85,-0.07,-3.08,-1.03,swipe_up
1,1774316148.8229728,-8.41,-3.45,12.23,0.41,-3.26,-0.88,swipe_up
1,1774316148.8285644,-7.88,-2.91,10.2,0.88,-3.42,-0.69,swipe_up
1,1774316148.8384964,-7.09,-2.31,8.25,1.31,-3.55,-0.47,swipe_up
1,1774316148.849673,-6.17,-1.73,6.28,1.68,-3.64,-0.24,swipe_up
1,1774316148.8579547,-5.33,-1.3,4.18,1.94,-3.64,-0.01,swipe_up
1,1774316148.8680053,-4.24,-0.64,2.27,2.05,-3.51,0.14,swipe_up
1,1774316148.878036,-3.2,-0.06,0.86,2.05,-3.28,0.19,swipe_up
1,1774316148.886784,-2.41,0.36,-0.14,1.96,-3,0.12,swipe_up
1,1774316148.899044,-1.8,0.78,-0.6,1.75,-2.72,-0.02,swipe_up
1,1774316148.9068732,-1.3,1.05,-0.86,1.43,-2.5,-0.21,swipe_up
1,1774316148.9189928,-0.78,1.15,-0.94,1.07,-2.33,-0.42,swipe_up
1,1774316148.9300508,-0.23,1.1,-1.13,0.69,-2.18,-0.6,swipe_up
1,1774316148.9367738,0.32,1.07,-1.31,0.36,-2.02,-0.74,swipe_up
1,1774316148.946696,0.7,1.18,-1.34,0.1,-1.8,-0.85,swipe_up
1,1774316148.9582794,0.91,1.38,-1.32,-0.1,-1.55,-0.94,swipe_up
1,1774316148.9703698,1.15,1.46,-1.33,-0.21,-1.27,-0.98,swipe_up
1,1774316148.9781644,1.45,1.42,-1.26,-0.22,-0.97,-0.98,swipe_up
1,1774316148.9925323,2.09,1.33,-1.03,-0.18,-0.66,-0.91,swipe_up
1,1774316148.9969454,2.42,1.28,-0.49,-0.12,-0.37,-0.81,swipe_up
1,1774316149.0078924,2.47,1.3,0.41,-0.05,-0.11,-0.77,swipe_up
1,1774316149.0201392,2.64,1.36,1.49,-0.02,0.08,-0.75,swipe_up
1,1774316149.0282757,2.86,1.39,2.55,-0.04,0.2,-0.69,swipe_up
1,1774316149.038354,3.04,1.3,3.42,-0.09,0.26,-0.61,swipe_up
1,1774316149.0473197,3.14,1.28,4.18,-0.17,0.28,-0.55,swipe_up
1,1774316149.0610049,3.29,1.22,4.73,-0.26,0.3,-0.53,swipe_up
1,1774316149.0665252,3.52,1.21,5.23,-0.36,0.33,-0.53,swipe_up
1,1774316149.078219,3.57,1.29,5.83,-0.41,0.37,-0.51,swipe_up
1,1774316149.0876734,3.85,1.26,6.51,-0.44,0.43,-0.44,swipe_up
1,1774316149.0993674,3.9,1.06,7.11,-0.43,0.49,-0.31,swipe_up
1,1774316149.1119037,3.86,0.7,7.66,-0.4,0.56,-0.14,swipe_up
1,1774316149.1211488,3.73,0.49,8.28,-0.33,0.64,0.03,swipe_up
1,1774316149.1284425,3.43,0.34,8.68,-0.25,0.71,0.18,swipe_up
1,1774316149.1376686,3.25,0.37,9.02,-0.17,0.78,0.27,swipe_up
1,1774316149.148862,3.22,0.5,9.61,-0.13,0.84,0.32,swipe_up
